sample,fluorophore,type,n_total,n_final
7-AAD Run 1 20251219194947,7-AAD,cells,1001,280
Alexa 594 Run 1 20251219194041,Alexa 594,beads,43164,11341
Alexa 647 Run 1 20251219194322,Alexa 647,beads,32765,9354
eFluor 506 Fixable Viability Run 1 20251219194859,eFluor 506,cells,44471,8977
eFluor 780 Fixable Viability Run 1 20251219194755,eFluor 780,cells,44538,8164
FITC Run 1 20251219194411,FITC,beads,33373,9141
PE Run 1 20251219194145,PE,beads,39600,10477
PE-Cy7 Run 1 20251219194459,PE-Cy7,beads,34496,9679
Unstained 1 Run 1 20251219195036,AF,unstained,2002,615
V450 Run 1 20251219194234,V450,beads,38478,10620
