file,FL07-A,FL08-A,FL10-A,FL09-A,FL11-A,FL06-A,FL05-A,FL04-A,FL03-A,FL00-A,FL01-A,FL02-A,FL16-A,FL15-A,FL17-A,FL18-A,FL13-A,FL14-A,FL12-A,FL23-A,FL22-A,FL21-A,FL19-A,FL20-A,FL37-A,FL36-A,FL38-A,FL39-A,FL42-A,FL41-A,FL40-A,FL31-A,FL32-A,FL34-A,FL33-A,FL35-A,FL24-A,FL26-A,FL25-A,FL28-A,FL27-A,FL30-A,FL29-A,FL46-A,FL47-A,FL43-A,FL45-A,FL44-A,FL48-A,FL49-A,FL50-A
7-AAD,0.0074092706660335,0.00926643275966235,0.00913146987995911,0.0121296619374434,0.0166970119619808,0.0175668333561771,0.0163547694276852,0.0143929954804347,0.0429097219242958,0.0871529085751977,0.0584844303071407,0.0130511395877942,0.0102337576516987,0.0108801452395123,0.0155236935318168,0.0148521225272642,0.0201246280577634,0.0202440881094387,0.0182564860341109,0.0521884240366584,0.081304398097759,0.0682229074838833,0.0283598070103226,0.0262475739677649,0.0147907757637627,0.0221057697948599,0.0376346342422313,0.208291996866875,0.383011090516202,0.249542155763423,0.0966266276018764,0.0207445394999495,0.0420198847227032,0.175151751162953,0.316138430090994,1,0.365860129035371,0.430018706811945,0.276644061522204,0.555849776095389,0.104872138466909,0.0448333950845568,0.00280317183695625,0.0230530755732879,0.00835141214133088,0.00973072080341057,0.00885057080295299,0.0075061294525352,0.000233111088881611,0.000183388966742099,0.00016595531091115
Alexa 594,0.00388592223266513,0.00283143328862728,0.0019820033020391,0.00306578638285547,0.0071958097586768,0.00720555780760481,0.00552619393228445,0.00454983934965417,0.218110595164378,0.143355082480242,0.0622140978483157,0.00620965713712401,0.00353444258131735,0.00211867594700921,0.00641471609457367,0.00785972687566584,0.0102127559169032,0.00902159432789527,0.00702004493800566,0.250857990773147,0.1222069652759,0.0682284940669125,0.0195858798861408,0.0132785922897532,0.00277284501507023,0.00448150302716911,0.00761075170804564,0.0990231305204263,0.0466019726151811,0.0182482976032347,0.00477439440495985,0.0135519375796934,0.094248686125472,0.744992464758179,1,0.884261515057761,0.283937269955418,0.294091487588759,0.14409220994418,0.239532107648654,0.0358326280994859,0.00839671939661277,0.00138642250753512,0.0319271597789702,0.00478419244388236,0.00422765383508491,0.00263617237010012,0.00779139055318078,0.00163052365069131,0.0012399518236425,0.00108373309082187
Alexa 647,0.00170374383631951,0.00124349849358185,0.000871776685234782,0.0013452994252473,0.00316409893283259,0.0033234050424564,0.00257996142576227,0.00125677589085671,0.00157096986357089,0.0240118104487951,0.0120855582792094,0.00181879950758529,0.00161524295960345,0.000947000164675979,0.00290301454921786,0.00370840424807833,0.00489881581023527,0.00415537219354113,0.00152230117867942,0.00130988547995616,0.00391640170026815,0.00313312589174943,0.00085849928795992,0.00236310482283103,0.00438992444028067,0.00317295808357401,0.00102666454832515,0.000924886274334229,0.00603614044096729,0.002084324795408,0.00150460553487111,0.000606251397412077,0.000557582712520604,0.000699193178336109,0.000973554959225702,0.116532135968886,0.0629414111507842,0.0547058902431431,0.0286008731905241,0.059126787724507,0.00703183194820927,0.00206218824739172,0.000597414904345189,1,0.320464484140489,0.316393171919456,0.289885460017407,0.126188179781216,0.00065494273997808,0.000544305315245742,0.000491195726146295
eFluor 506,0.0571357167407563,0.057909240032474,0.0535536767090521,0.0785448989954061,0.134093816825273,0.201639535518112,0.147894296266472,0.0773882321118413,0.0673216214241505,0.0540669406986327,0.0341361082678697,0.017078880535965,0.0458654322273525,0.0572405385204125,0.198071949195785,0.411498679030899,1,0.606921176316526,0.248509861427236,0.12359344680291,0.0469570481653857,0.0275792690649979,0.00982441389560743,0.0325746264817273,0.0812522212630832,0.0907260262929444,0.0409026280433941,0.0467293420960196,0.0267551300304553,0.0108726687055095,0.00602910299724406,0.0115702776363251,0.00483991989424845,0.0178740936450834,0.0162077715726147,0.0284540053356951,0.00710626522590019,0.0125498171800084,0.00365795439260627,0.0252297732644204,0.00790867742970186,0.0031446533896854,0.00101205576311403,0.0247707153116712,0.001243389139827,0.00208921799177016,0.0256454700890386,0.102979477657378,0.903085750359973,0.260882588280703,0.0687638277212596
eFluor 780,0.0035552173449684,0.0034204002760146,0.00311958461373001,0.00422815577499769,0.00597045543873966,0.00628594503576984,0.00545159567136862,0.00348872681184918,0.0036808637916636,0.00336789693749488,0.0029969210844899,0.0149316454310805,0.00271421775334048,0.00296619738687697,0.00527344353832415,0.00545457624099415,0.00763961668996528,0.00663949529778574,0.0038367737613781,0.00331470333708473,0.00206948262589222,0.00158134420830455,0.00292561397902979,0.0198866199766637,0.00504737337788925,0.00592918529074639,0.00275801064419522,0.00319547703031942,0.00184891577794431,0.000799499356337831,0.00126310295503087,0.000998285389464166,0.000691278500631716,0.00164806600263535,0.00144859205544815,0.00230243192693585,0.000746076842545647,0.00111957426449731,0.000444343178903373,0.00790535225688967,0.00752130721064287,0.00159349540018868,0.000122434615858082,0.00245329641092742,0.000741491531416345,0.00140158968158585,0.0228590085900885,0.0931467005425289,1,0.281567131903807,0.0801121143084209
FITC,0.00221290808131645,0.00162627065126122,0.00115581877599009,0.00173372816398513,0.00415862209820109,0.0297261648917764,0.0283960826525064,0.0123132897837242,0.00810818751605097,0.00338323889998241,0.00272401151875545,0.00191086132422865,0.00207349731069248,0.00120809781497407,0.00371722404607407,0.00475105839776819,0.0296332342906246,0.0252480696901596,0.010019078578072,0.00620309532354183,0.0021025511338366,0.00185278341573279,0.000836375410366666,0.00306670983801111,1,0.460964805798536,0.0960437614215426,0.0530226919577471,0.0133761779585624,0.00329030829883056,0.00351393649744237,0.000760841417750441,0.000760841417750441,0.00278208942725131,0.00404826515072124,0.00396116315687364,0.00164949586710109,0.00386823255572178,0.000818949064038671,0.00583720152623867,0.00257880187861961,0.00115290447233797,0.000760841417750441,0.000859600626206537,0.000691165770230828,0.000691165770230828,0.000691165770230828,0.00408894645068148,0.00149848735745338,0.000865399495718412,0.000650514208062962
PE,0.000914169130662374,0.000743063207202613,0.000515682073312689,0.000825105719145583,0.00184475636494353,0.00185178926605508,0.00797913835103864,0.0974656040729186,0.0421741476891951,0.015137875585723,0.00541240548068943,0.000855577623449737,0.000914169130662374,0.000593043985539779,0.00183773546536971,0.00210494970299555,0.00270736688950482,0.0107310549486085,0.110116449000378,0.0423522985153042,0.0121351388510707,0.00537959327652734,0.000804007015810922,0.00142283030440124,0.00451229015071243,0.0651270886036086,0.485115260848142,0.255860110844282,0.0651130228013855,0.0219731233723515,0.00493656851265039,1,0.482332872346268,0.393244905683275,0.275866578232936,0.164582799664955,0.0426664027608529,0.0448182424717714,0.0197767459549057,0.0296663010838253,0.00386064265642228,0.000956366537331695,0.000314092244011041,0.000393794456096071,0.000278939739991006,0.000278939739991006,0.000276587438595332,0.00153300442079043,0.000325817746376208,0.000285972641102559,0.000260181336514285
PE-Cy7,0.00153076300397626,0.00134643705365227,0.000921650268756017,0.00145062307054288,0.00316171118331228,0.00309759513313836,0.00268085106557593,0.00201964532191038,0.00184332105464809,0.00150271607898818,0.00837314580999253,0.0891633698706596,0.00162292597913826,0.000961740752608764,0.00278903792399739,0.00334603713363627,0.0043598914118264,0.00427172927819525,0.00258666715251245,0.00162692682066911,0.00100981240238716,0.00133039265325675,0.0232240233668842,0.129239912329457,0.00409940585246382,0.00908443388276993,0.0099540116602167,0.0061230725330411,0.00120618191157582,0.0106071952036845,0.609881881616699,0.0154399450501855,0.00722506842772632,0.00738534829459308,0.0054278186020912,0.00385496469349676,0.00121018275310667,0.00316371160407771,0.0145102520640957,1,0.900708263846923,0.228892288441552,0.017625892018395,0.000581045293096111,0.000480860117736354,0.000548977009441124,0.0377002375022636,0.118239998624531,0.332107106179831,0.1111872331054,0.0297137781555119
AF,0.410288347915847,0.495562772368323,0.491264513147335,0.648641002531958,0.882348953051395,0.924916947295299,0.805463038129879,0.525166416002914,0.56828886403352,0.567318392424784,0.381031504120955,0.0644064451525582,0.575776474902092,0.602190766889099,0.842553937669029,0.780990044324356,1,0.889836208955955,0.551025899239206,0.50727942447555,0.366125855330157,0.287506651138174,0.0806985833741246,0.111272698617451,0.725180117613776,0.839572949896475,0.419855692930572,0.602884011604484,0.53286168081849,0.322101798709138,0.0987243658301703,0.0834719171996747,0.092276444552669,0.30553243359422,0.369938878746778,0.813713111696171,0.325152359428039,0.41527985185222,0.22857730069037,0.499375795784944,0.0584441146434369,0.0293260617772267,0.00956734501472568,0.116333775500171,0.0119938790005775,0.0169853829369509,0.0198971527271708,0.0697447489286299,0.0115082882321976,0.00831929154862634,0.00734881993989039
V450,0.00741469369034005,0.00876108097023773,0.0277813863973232,0.0611570716547563,0.0723645053980741,0.0440141545917078,0.0179204370268056,0.00639065484696508,0.00728196769253086,0.00654231396077486,0.00777500545176648,0.00559420176720734,0.14019681119722,0.534902179871593,1,0.596761039026104,0.289515015126103,0.0925226425503432,0.0305690207229266,0.0133692072189738,0.0053097195626858,0.00536661600359011,0.00263587811889104,0.00902653296585612,0.00980405292961328,0.0104867131275624,0.00403916183969302,0.0037357465191709,0.00273073788469907,0.00394439916678755,0.00519592668087718,0.00246518879617811,0.00237042612327264,0.00284443367360512,0.00337543475774447,0.00445637004202375,0.00375467963517148,0.00976608960470955,0.00233246279836892,0.00764218236105472,0.00288239699850885,0.00269277455979534,0.00244625568017753,0.00292036032341258,0.00223760303256088,0.00223760303256088,0.00219973680055972,0.0124400281414069,0.00259791479398731,0.00229449947346519,0.00208594391875111
